Number,Call No,Book Title,library id,created by library id,contribution id,Author(s),Publisher,Year Published,Pages,Donated By,Price in Rupees,Image
87,87,కళ్ళు తెరిచిన సీత యధార్ద గాధ,,,,రంగనాయకమ్మ, స్వీట్ హోం పబ్లికేషన్స్,Jan-13,351,విజయవాడ,120,/images/books/87.JPG
88,88,పిల్లల కోసం ఆర్ధిక శాస్త్రం,,,,రంగనాయకమ్మ, స్వీట్ హోం పబ్లికేషన్స్,Nov-09,384,విజయవాడ,100,/images/books/88.JPG
89,89,కపాల దుర్గం ,,,,దాసరి సుబ్రహ్మణ్యం,మంచి పుస్తకం,Dec-11,254,విజయవాడ,150,/images/books/89.JPG
90,90,మృత్యులోయ,,,,దాసరి సుబ్రహ్మణ్యం, వాహిని బుక్ ట్రస్ట్,Jan-11,312,విజయవాడ,150,/images/books/90.JPG
91,91,అగ్ని మాల  ,,,,దాసరి సుబ్రహ్మణ్యం, వాహిని బుక్ ట్రస్ట్,Jan-11,154,విజయవాడ,60,/images/books/91.JPG
92,92,కూలిన గోడలు,,,, రంగనాయకమ్మ, స్వీట్ హోం పబ్లికేషన్స్,Sep-12,160,విజయవాడ,40,/images/books/92.JPG
93,93,నాకు ఓ ప్రేమ కథ ,,,,రవీందర్ సింగ్ ,BSC Publishers,Jul-05,217,విజయవాడ,135,/images/books/93.JPG
94,94,జాతి వెలుగులు,,,, రావెల సాంబ శివ రావు, అమరావతి పబ్లికేషన్స్,Dec-13,168,విజయవాడ,75,/images/books/94.JPG
95,95,తెలుగు వెలుగులు,,,,"శ్రీ టీ వి, శ్రీ చంద్ర", అమరావతి పబ్లికేషన్స్,Dec-13,168,విజయవాడ,75,/images/books/95.JPG
96,96,జానకి బాల కధలు,,,, జానకి బాల కధలు,అనల్ప ప్రచురణలు,Oct-13,846,విజయవాడ,400,/images/books/96.JPG
97,97,మంత్రాల మర్రి,,,,నరేంద్ర ,డా. వాసి రెడ్డి సీతాదేవి,May-11,236,విజయవాడ,120,/images/books/97.JPG
98,98,ప్రపంచ చరిత్ర,,,, క్రిస్ బేజియార్,  Hyd బుక్ ట్రస్ట్,4/10/2012,146,విజయవాడ,60,/images/books/98.JPG
99,99,వెన్నెల పూదోట,,,,డా. సిరి ,Navodaya book trust,Aug-12,93,విజయవాడ,60,/images/books/99.JPG
100,100,వింత దృశ్యం,,,,జాస్తి శ్రీకృష్ణ వర ప్రసాద్ ,మంచి పుస్తకం,Dec-12,104,విజయవాడ,40,/images/books/100.JPG
